,the_geom,NAME,BIN,CNSTRCT_YR,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE,GLOBALID,BUILDING_TYPE
3590,"MULTIPOLYGON (((-73.95317216502298 40.75924424776888, -73.95321781357056 40.759183973010344, -73.95320907399044 40.759180145917114, -73.95320460238473 40.75917818820419, -73.95324150759855 40.75912945885914, -73.95327555128873 40.759084507760555, -73.95328845346337 40.75909015735764, -73.95329847216021 40.75907692849992, -73.95336663996972 40.758986918229986, -73.95339196245057 40.75899800648936, -73.9533971230807 40.75900026614294, -73.95340252331007 40.759000293541575, -73.95341405208914 40.759000352234594, -73.95351564272217 40.75900086603723, -73.95334331488384 40.75922840979348, -73.95323236728537 40.75922579566542, -73.95322656446294 40.759225659134266, -73.95320306690007 40.75925668459202, -73.95319831001297 40.75926296548214, -73.95319626422447 40.75926206954913, -73.95318914303341 40.75925895180931, -73.95316803045318 40.759249706749806, -73.9531701297432 40.75924693494864, -73.95317216502298 40.75924424776888)))",Roosevelt Isld Subway Station,1089270,1975.0,03/25/2008 12:00:00 AM,Constructed,996736,28.47,2100.0,16.0,0,0,1013730001,1013730001,Photogramm,{E49130B9-6088-4BB5-9BA5-ABA8BFC69BA7},Building
4323,"MULTIPOLYGON (((-73.88526375915657 40.86258229857224, -73.88523428275776 40.862564642156144, -73.88522428384948 40.86257426385617, -73.88515941734063 40.862535407983735, -73.88513535472279 40.86252099419369, -73.8851423050135 40.86251430596599, -73.88519195380346 40.862466533031174, -73.88519333673031 40.862465202581824, -73.88524862103013 40.862498319085326, -73.88528145773633 40.86251798873373, -73.88527288335212 40.86252623950687, -73.88530316664948 40.86254438027873, -73.88526375915657 40.86258229857224)))",Alpha House,2102033,1922.0,08/17/2017 12:00:00 AM,Constructed,194515,22.56,5110.0,98.0,0,0,2032730001,2032730001,Photogramm,{8A21945E-76A9-47A7-9355-2D500A91A949},Garage
5810,"MULTIPOLYGON (((-73.88149603905721 40.848552655293986, -73.88152172490106 40.84851597579303, -73.88156494805726 40.84853342850318, -73.88162718588782 40.84855855850056, -73.88163445117695 40.8485614925569, -73.88149401055047 40.84876204658143, -73.88125373965276 40.84910515735781, -73.88117853146467 40.84907478914426, -73.8811410139035 40.84905963932688, -73.88149603905721 40.848552655293986)))",Pheasant Aviary,2123889,1905.0,07/17/2014 12:00:00 AM,Constructed,925752,22.07564836,2100.0,70.0,0,0,2031200020,2031200020,Photogramm,{2BCDE23D-4DD7-4642-8FC1-B347EDE772CA},Building
8013,"MULTIPOLYGON (((-73.8312596282937 40.871147879809705, -73.83130955960037 40.871064546728235, -73.83134393586465 40.87107641590665, -73.83134928006157 40.87106749716003, -73.83139698893743 40.871083969301345, -73.8313729936627 40.87112401775042, -73.83133796820587 40.87117492709152, -73.8312596282937 40.871147879809705)))",Asch Loop Town Houses,2128807,1969.0,08/22/2017 12:00:00 AM,Constructed,197782,26.45,2100.0,18.0,0,0,2051410120,2051410120,Photogramm,{E7006798-10CF-49AA-BE4E-A1039405D38A},Building
8169,"MULTIPOLYGON (((-73.90110014758918 40.733084228429156, -73.90112678109972 40.73305213735917, -73.90118443629859 40.733079827061836, -73.9011578016223 40.73311191724352, -73.90110014758918 40.733084228429156)))",NO NAME,4597316,1940.0,08/17/2017 12:00:00 AM,Constructed,786648,11.0,5110.0,68.0,0,0,4023750180,4023750180,Other (Man,{E2CADF8E-D955-4BD4-AEED-0EFC3A2149C4},Garage
13517,"MULTIPOLYGON (((-73.79288542498608 40.656113230778, -73.79273653209333 40.65591184326792, -73.79268158191276 40.65593540628484, -73.79246546061228 40.65564308343636, -73.79232341821142 40.65545095877361, -73.79232494084866 40.655450305944626, -73.79237492383524 40.65542887286481, -73.79243703104163 40.655402240431094, -73.79255866180362 40.65535008294499, -73.79261262289967 40.65532694414841, -73.79270029258441 40.65528934971019, -73.79274085539467 40.6552719554328, -73.79288289861651 40.65546407958394, -73.79276795754728 40.65551336870343, -73.7929840809383 40.65580569008951, -73.79295752710041 40.655817077090106, -73.79311360084812 40.65602817672644, -73.79326834787094 40.6559618183287, -73.79329332156097 40.65599559576906, -73.79330377191933 40.65600973019102, -73.7933732777991 40.65610374142663, -73.79338763516799 40.656123159902954, -73.79340952625368 40.656152768678766, -73.79297009097557 40.656341205604406, -73.79295845960489 40.656325472405946, -73.79282891345191 40.6561502547191, -73.79289260536616 40.65612294230132, -73.79288542498608 40.656113230778)))",147,4542169,1994.0,02/14/2009 12:00:00 AM,Constructed,925040,31.71,2100.0,10.0,0,0,4142600001,4142600001,Photogramm,{8FFF0AD8-D178-43D2-A9A4-3E8D7BC15A0D},Building
14433,"MULTIPOLYGON (((-73.98097361949823 40.72247475839574, -73.98095041391409 40.72246511910761, -73.98094672429805 40.72247025950552, -73.9808763643603 40.72244103261269, -73.98075063926287 40.72238880732787, -73.9808316794903 40.7222758798524, -73.98083837550065 40.72226654898742, -73.98090875180606 40.72229578311097, -73.98090788624009 40.722296987849134, -73.98090001562328 40.72230795564948, -73.98094015426959 40.72232462802972, -73.98096112422283 40.72233333942569, -73.98096485527337 40.722328140500956, -73.9810668683288 40.72237051638563, -73.98115568265769 40.72224675503013, -73.98118217165973 40.722209842076275, -73.98102828371661 40.72214591937099, -73.98103139192528 40.722141589333035, -73.98095402142765 40.72210944998391, -73.9809253376979 40.72209753509695, -73.98092223066772 40.72210186603281, -73.98089362268885 40.7220899826683, -73.98079758549598 40.72205008852892, -73.98080154507159 40.72204457086707, -73.98073474077731 40.722016821314284, -73.9807307811981 40.722022338073366, -73.98066675809771 40.7219957433997, -73.98067071768097 40.7219902257423, -73.98057409258374 40.72195008817961, -73.98064999839029 40.72184431540764, -73.98074662337989 40.72188445290715, -73.98075005958545 40.72187966547263, -73.9808764819666 40.72193217994123, -73.98087165565724 40.72193890594551, -73.9810059932743 40.72199471024685, -73.98101082075799 40.72198798333663, -73.98113731455787 40.72204052814704, -73.98113248826698 40.72204725416219, -73.98115602392004 40.7220570303456, -73.98123924434935 40.72209160008719, -73.98124324414955 40.72208602568462, -73.98130606634311 40.72211212096013, -73.98130206654659 40.722117695364844, -73.98137496014465 40.72214797420379, -73.98133061427066 40.72220976988754, -73.98133990572113 40.722213629176345, -73.98133531270086 40.72222002925318, -73.98127098782552 40.72230966722643, -73.98126169518231 40.722305807031375, -73.98121421602457 40.72237197053035, -73.98122350749091 40.722375829828465, -73.9811538847314 40.722472847445715, -73.98114334350443 40.72246846834342, -73.98110089055412 40.72252762485289, -73.98097361949823 40.72247475839574)))",Mariana Bracetti Plaza,1004617,1973.0,08/22/2017 12:00:00 AM,Constructed,157123,70.98,2100.0,17.0,0,0,1003860033,1003860033,Photogramm,{07718B5A-FF77-47BC-AA07-D804A6CA4956},Building
15928,"MULTIPOLYGON (((-73.98205232696138 40.76434607147997, -73.98196132272697 40.76430813703918, -73.98190667428831 40.76428535652179, -73.98194412713737 40.764233415917076, -73.98191125308297 40.764219711391135, -73.98191969717926 40.76420800075997, -73.98197255357668 40.764134697200774, -73.98200204427688 40.764146990090964, -73.98204453947601 40.76408805602461, -73.9820447314134 40.76408778950527, -73.98204435364659 40.76408763185819, -73.98201524191616 40.7640754957256, -73.98202999502674 40.76405503497157, -73.98205284858608 40.76402334168851, -73.98208929646758 40.763972793958054, -73.9820955865445 40.76396406995099, -73.98209571213268 40.76396389617325, -73.98227081826495 40.7640368893032, -73.9821460313399 40.76438513189722, -73.9821213283412 40.764374834404016, -73.98205232696138 40.76434607147997)))",International Ladies Garment Workers U.,1024850,1918.0,08/22/2017 12:00:00 AM,Constructed,6536,87.1,2100.0,74.0,0,0,1010260021,1010260021,Photogramm,{E8133DDE-800D-4300-A8B7-C0EC3513C294},Building
18776,"MULTIPOLYGON (((-73.98051088816166 40.745764957070456, -73.98038212783271 40.74571090391817, -73.98040354730418 40.74568139076102, -73.98052880635423 40.74550879930608, -73.98066246756882 40.74532462680602, -73.98072439054653 40.74523930428041, -73.98082808280417 40.745282834066224, -73.98104312388607 40.74537310582389, -73.98119211903213 40.7454356524224, -73.98118114596511 40.74545077193641, -73.98116493272799 40.745473112655226, -73.98105583422712 40.74562344063634, -73.98094669733022 40.7457738198335, -73.98085247281468 40.74590365184553, -73.98085067829538 40.74590612433806, -73.9808498586203 40.745907254337446, -73.98070328142218 40.74584572257647, -73.98054579736394 40.74577961151195, -73.98051088816166 40.745764957070456)))",New York Design Center (Furn. Exchange),1018473,1925.0,08/22/2017 12:00:00 AM,Constructed,324459,199.46188245,2100.0,31.0,0,0,1008880020,1008880020,Photogramm,{0C6B431C-A4EB-4EBF-9B9D-FC92D9BB5799},Building
19273,"MULTIPOLYGON (((-74.15024328554689 40.60209709893372, -74.15023677674704 40.60209709573562, -74.15023676139562 40.60211547633905, -74.15018842565584 40.60211545216422, -74.15018845367639 40.602082213808565, -74.15018848148527 40.60204993180895, -74.15023296435768 40.60204995381601, -74.15023294143965 40.602077048794435, -74.1502431790037 40.602077054322386, -74.15024323605442 40.60200842535832, -74.15044213285246 40.60200852267762, -74.1505114823762 40.60200855704928, -74.15055078205279 40.60200857581549, -74.15055081660542 40.60196731108525, -74.15055107291379 40.60166075996273, -74.15024075795483 40.60166060862564, -74.15024079795496 40.601612228851444, -74.15023622446067 40.60161222672544, -74.15023621754625 40.601620180157646, -74.15018793060536 40.60162015591933, -74.15018797214935 40.601569819305496, -74.15018798432057 40.60155527133315, -74.1502352043406 40.60155529426453, -74.15023519465892 40.60156674353245, -74.15023518812747 40.60157434215789, -74.15024599153891 40.60157434694584, -74.1502459991149 40.601566162978735, -74.15024601396907 40.60154861265761, -74.15030891806596 40.60154864296968, -74.15055164267582 40.601548761113655, -74.15055165513503 40.60153385203084, -74.15069781066211 40.601533922528546, -74.15069774427133 40.60161390981136, -74.1506974598425 40.601953767733086, -74.15069736203837 40.60207008937281, -74.15069730759654 40.60213600325584, -74.15057646053305 40.60213594462582, -74.15055231923999 40.602135933027824, -74.15055232943125 40.60212368589606, -74.15024326351266 40.602123534727745, -74.15024328554689 40.60209709893372)))",Business,5107294,1993.0,08/22/2017 12:00:00 AM,Constructed,508440,43.43,2100.0,72.0,0,0,5020400001,5020400001,Photogramm,{7CEFAF97-77C1-472A-B3D9-AFB29CB0BAC4},Building
